Encrypted_Data,Category,Algorithm Type,Algorithm
yPJ/NHRflbk7stVyFsQfXDdwENHowG+cxO0bE0bDjpv976TmPWYw/cPppsP0QMIn8sszbZOJZi6aXh6szwhkV+R1EwHonuJPMauubQhbOgm0PPdPJCOFQQOGpfqxytB/CS0nqRgqtPskJwTxp/4maz4CIH8tX727LWxW8KVPdZbzgO9PKtd0cjZdqe911vzMIUAv8HQnW//h23BAl1v6lkT3Cq/xcQEguLUI2oVZypjBsANfnC+sg3m74L5JvKOn3zpv8/tQf/ree8VFZOY6pBp93igjL4uvEPFTxaFEH3b0F3OMfYuJTchAxfZKA6lCDQshg/MJUvrCq56GGL/xOmGbIWZpCCiPxtNxqGlXq7g=,Symmetric (Block),Classical,AES-128-CBC
jmGI3I6VaZkbdN+1lVEJUAtLRzxw/gl4/hlmV7aVHaDrcxdA8NzCHwqqEvBG5EZ78khX2tMN50zRegCQpiI2o98dOgAAA+LEg3fi5HRMT+qoT1NfmV7wA6QB9cDw/nEhQJdhNsT+8JCTnyQHcQRRNnL5z/KFHjYvehR3OVpiM3JSgIX5JI87dANhJdoKsl7N3gzpDG0b5rQWAKSjk/YtkQ==,Symmetric (Block),Classical,AES-128-CBC
VelFkPbW0yOngRAEby1Ke41lmSjlRwYLHC17DbIlvJk9Zo8k6NUzHtg+x5fucERrO1qR2dKnydKm5s40Br30i4AkgSmJ06lGmpgEgf4x2JvjT8knvpUMQZR/uahSGDMsS1pePFsC3gnR74ZhUqKSUP8y+gBw57PsIjSeAmclOXZh5X0SM3bEx5bEj5OC0tuP1/9Kw4OFv643R1fFYep+50iYJwwH/gh4Z/6481itzgumK3l6cDX1lNFdLk2/oKv7zfvl+UfVg64G1NlPE/1JiXzrSiQYDK6C8xdkG+4f+4E=,Symmetric (Block),Classical,AES-128-CBC
7BzYpdXvSmMXzFupZmsR7GZQ1yQUpHWwWeNZVtji+EXwJmSD8twNSEYictrB/eAxU2fV5j8N6ZNTs5RjlQtrDFQQ0EszowE0U/G+aQLNCaRBhVygIgdtG3xhFNHKNP1+z3hcEalENF7kxefrd6lh56cK76LVZMXubZQ1aOG/XsXCOzO4Tr+3jRqYT/mE2Xxjg3xJY3pmIc62ru5GoUkLUE9+ueg0lC8YbhPfHdD6828=,Symmetric (Block),Classical,AES-128-CBC
HdSek3zh3M79Hwdl60grdRAlWWM/zT+hXRMa9L5h4MVMAtkHM+Lk//7KTlQm4Sx/zzS/od0zcRQIwkAZrl4PtnoUPhZHNi4R8mP8d9i0d0yXuCoKEHgUIa0i2Rt99auXNapZgNePGv1qErKQoT/MJ07RSR90Fy2AU+9ZVqQSzPu+4AJnHhvAW9GG5LHxQKdp9SFijXH+7iJ9xNuRoQ7uKuElfCM0XomXFaou1a9LSJI=,Symmetric (Block),Classical,AES-128-CBC
LEKpo878RVhtx6Cs4EgWJL0EDnZvAf77pIvPzV8uqDLxqAXA7FmJWuIOaTSjUE+se0wSE2cgX/2BWWSpfF5yTER3GXGd0r8RwjqMZXoywdYF2/NjLIpfbqLOp9lNP8omCSU7GWnVj5y+voJiKYc2xfl7BeCFZymYMw6DJSMb+VbUs3cyz+ZdQgr/ADWTu+lDkXBqCVZukDFlHZefd4PIHuCuorFjQ1pEiRVYON6SqSh1imoRBokiC6FfPqJTZbDX1huSEuVT56OA+wH94v/CQJ2Rsvz8L8PnZm3glZDGfvNpB/1aHoGhWkFA5AMoMQ+K,Symmetric (Block),Classical,AES-128-CBC
smXTqduFnSszsWMZxMP8xWnQXVVYmfGTB3/H8aWVzgFEyElWk6KNB7qqXY36OxMTtmeLIsTa0rpD906ZJXamPQyxc1PIfe8HaZQV4mOveknFiuCTj08Jv84rczmBe0P6d2KlAySQppNM0adkz04FlXWGev9F8eDDANBJoMiSmXfATkF1J/r0xuQamvx1lTQ9/T6R5eOq8B7eif771kcCEVgOQ9ueAfrDTiE4gnw5YW+kwom4B7w4cR+zKiFQHra1CYEwV0iPNz/xtjaWYDN1YoCTDvD34fiMeAjpXUQCFBg=,Symmetric (Block),Classical,AES-128-CBC
4uWaoXHdijtOumbRJ9MCcNHAWs+o7qsgH0B7T3Eac3/5HtWatFS2fe7e8fxGF49plqHG8Xo/hcaIXcuG+8YV74dDr4OTApkK6jSlqwtNWZFHe+TxfL6T6LiAt9vmNqxkDSj6Of72Thgp+RwGxF0m5scB8aRXq4mh4gFhTHK6737hR0I8iOaYU44Xoit+hNEWX2PsmQELknmTSyc/sgEvrBF2IXl+f0SnqPmN9R0fVi3kDub8riEbnlAFrJnDHX9p,Symmetric (Block),Classical,AES-128-CBC
A9a/+YoQJijnIfP+hl4RtbCrAxLX+XdHQ+yE+kp2s7wZNXTuahOfQZ81se35nHGX/Dvq/iff1tUOaPic32txVrhyPvdDW9df0+f0VXaKwFHqNSzkys169Y3EeDPkzgIWNfOMP0fYCDHP2Ui25h3rbCLgNfLP4iHs+FU6B0dT0SvKZZo5rq6uXrwdDRYgKNG4iqABdPtx6THV4W8Zu7ki2Q==,Symmetric (Block),Classical,AES-128-CBC
TNMqrUWRu0L8NMX/+BJLznKlU7gjmnCJEHx/nhD3CVF4/S6U/KW5Q49efrGE7sM7wEbARwRJDZTRSHjTyETdzSqkEHnlnxDlZnkeFdfSivC7Yf5dVczw+YRQMolq+IZm21jaer1D9wL+CmdDGFCkOiVDPfk5OV5FzhBUaqEposPH4UVKruK1JifHyHyqYjk8FYuJpWkcOWyx9797GM37BARy5QlrbDpUJDoPZYfK7Lurm8pTqIpc3qoXgYW+Oecq/zNAV0aggbAsbpI1NEJyiwDhapJmUt4rK5Fsv7ReRA6nl8hHTyOGCWwsO4rPPOnbUamqamdNZJqfhWJg51N0nZNylr87aSj51OTqhM+A/nkuBRxJdJk1Qknmr5gmyf88F2kunKp4EGtzFjdCaVzikyTpXippHjLX/9nthFnQvIc=,Symmetric (Block),Classical,AES-128-CBC
ZhsbkBKZxDheujwbwaKoIgpC+fp2PlUjqIy+8ZquIWgVrllDeRYUResWcKPNdOXLYdz8gMdmQAjyBMSzLjC8/keFpTpOKe4iIpDFUEsUpeyr/w7ixqTGM2vlVXZ4ievCKsK/dsnL4Lzmxh1ALZdbA9IdbFjOx1qXooqrPHdTcQ8MGvdl/8QTk6riGSICKXzzaI5EvxlRZEX8d7RWehpq6SbBVVT5VHt2HzAVcQcIS6pASOpwclxcY5+JF4F85FogSztn8bDwsMKe1KsS5pNOAYvxTJ3d/rQbOVfzTep4twAPoo5vIDmGueihgtMvbj+wD/Q1qJC7zD41rFfbE7sTK/u/BDHF6zhNhunrerrBsA9CYx2JXYwq2qmCAQPdmiWq,Symmetric (Block),Classical,AES-128-CBC
